Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Authority,"Application type","Stage of procedure","Cases / Persons",applied
2022,Palestinian,PSE,Algeria,DZA,U,N,FI,P,42
2022,Palestinian,PSE,Australia,AUS,G,N,FI,P,51
2022,Palestinian,PSE,Belgium,BEL,G,N,FI,P,2500
2022,Palestinian,PSE,Belgium,BEL,G,A,JR,P,268
2022,Palestinian,PSE,Belgium,BEL,G,R,RA,P,302
2022,Palestinian,PSE,Brazil,BRA,G,N,FI,P,36
2022,Palestinian,PSE,Canada,CAN,G,A,AR,P,6
2022,Palestinian,PSE,Canada,CAN,G,R,AR,P,5
2022,Palestinian,PSE,Canada,CAN,G,N,FI,P,384
2022,Palestinian,PSE,Canada,CAN,G,A,JR,P,8
2022,Palestinian,PSE,Chad,TCD,G,N,FA,P,6
2022,Palestinian,PSE,Cyprus,CYP,G,N,FA,P,199
2022,Palestinian,PSE,Cyprus,CYP,G,A,JR,P,16
2022,Palestinian,PSE,France,FRA,G,A,AR,P,48
2022,Palestinian,PSE,France,FRA,G,N,FI,P,201
2022,Palestinian,PSE,France,FRA,G,A,RA,P,5
2022,Palestinian,PSE,France,FRA,G,R,RA,P,15
2022,Palestinian,PSE,"United Kingdom of Great Britain and Northern Ireland",GBR,G,A,AR,C,40
2022,Palestinian,PSE,"United Kingdom of Great Britain and Northern Ireland",GBR,G,N,FI,P,258
2022,Palestinian,PSE,Georgia,GEO,G,N,FI,P,8
2022,Palestinian,PSE,Germany,DEU,G,N,FI,P,624
2022,Palestinian,PSE,Germany,DEU,G,J,JR,P,632
2022,Palestinian,PSE,Germany,DEU,G,R,RA,P,16
2022,Palestinian,PSE,Greece,GRC,G,A,AR,P,32
2022,Palestinian,PSE,Greece,GRC,G,N,FI,P,2895
2022,Palestinian,PSE,Greece,GRC,G,R,RA,P,12
2022,Palestinian,PSE,Croatia,HRV,G,N,FI,P,28
2022,Palestinian,PSE,Iceland,ISL,G,A,AR,P,106
2022,Palestinian,PSE,Iceland,ISL,G,N,FI,P,233
2022,Palestinian,PSE,India,IND,U,N,FI,P,5
2022,Palestinian,PSE,Ireland,IRL,G,N,FI,P,36
2022,Palestinian,PSE,Italy,ITA,G,N,FI,P,87
2022,Palestinian,PSE,Kyrgyzstan,KGZ,G,N,FI,P,5
2022,Palestinian,PSE,Libya,LBY,U,N,FI,P,416
2022,Palestinian,PSE,Mauritania,MRT,U,N,FI,P,13
2022,Palestinian,PSE,Mexico,MEX,G,N,FI,P,10
2022,Palestinian,PSE,Malaysia,MYS,U,N,FI,P,5
2022,Palestinian,PSE,Morocco,MAR,U,N,FI,P,5
2022,Palestinian,PSE,Mozambique,MOZ,G,N,FI,P,9
2022,Palestinian,PSE,Malta,MLT,G,N,FI,P,9
2022,Palestinian,PSE,"Netherlands (Kingdom of the)",NLD,G,N,FI,P,32
2022,Palestinian,PSE,Nigeria,NGA,G,N,FI,P,13
2022,Palestinian,PSE,Philippines,PHL,G,N,FA,P,5
2022,Palestinian,PSE,Poland,POL,G,N,FI,P,8
2022,Palestinian,PSE,Portugal,PRT,G,N,FI,P,13
2022,Palestinian,PSE,Romania,ROU,G,N,FI,P,41
2022,Palestinian,PSE,"Saudi Arabia",SAU,U,N,FI,P,7
2022,Palestinian,PSE,Spain,ESP,G,N,FI,P,209
2022,Palestinian,PSE,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,G,N,FI,P,15
2022,Palestinian,PSE,Slovenia,SVN,G,N,FI,P,7
2022,Palestinian,PSE,Sweden,SWE,G,A,AR,P,124
2022,Palestinian,PSE,Sweden,SWE,G,N,FI,P,116
2022,Palestinian,PSE,Sweden,SWE,G,R,RA,P,45
2022,Palestinian,PSE,Thailand,THA,U,N,FI,P,5
2022,Palestinian,PSE,Tunisia,TUN,U,N,FI,P,15
2022,Palestinian,PSE,"United States of America",USA,G,A,AR,P,10
2022,Palestinian,PSE,"United States of America",USA,G,N,EO,P,8
2022,Palestinian,PSE,"United States of America",USA,G,N,IN,P,31
2022,Palestinian,PSE,Yemen,YEM,U,N,FI,P,18
