Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","21/11/2023 14:29 UTC"
"Last updated:","24 October 2023"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=seKzS9
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:,2022
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"IDPs of concern to UNHCR","Other people in need of international protection","Stateless persons","Host Community","Others of concern"
2022,Aruba,ABW,Aruba,ABW,0,0,0,-,0,1700,0
2022,Aruba,ABW,"United States of America",USA,0,7,0,-,0,0,0
2022,Afghanistan,AFG,Afghanistan,AFG,0,0,3254002,-,0,878451,88903
2022,Afghanistan,AFG,Albania,ALB,14,0,0,-,0,0,8
2022,Afghanistan,AFG,Egypt,EGY,47,334,0,-,0,0,0
2022,Afghanistan,AFG,Argentina,ARG,11,11,0,-,0,0,0
2022,Afghanistan,AFG,Armenia,ARM,9,0,0,-,0,0,0
2022,Afghanistan,AFG,Australia,AUS,7787,3503,0,-,0,0,0
2022,Afghanistan,AFG,Austria,AUT,45282,7419,0,-,0,0,0
2022,Afghanistan,AFG,Azerbaijan,AZE,1161,15,0,-,0,0,0
2022,Afghanistan,AFG,Belgium,BEL,6238,9700,0,-,0,0,0
2022,Afghanistan,AFG,Bangladesh,BGD,5,0,0,-,0,0,0
2022,Afghanistan,AFG,Belarus,BLR,118,34,0,-,0,0,0
2022,Afghanistan,AFG,Brazil,BRA,267,775,0,-,0,0,0
2022,Afghanistan,AFG,"Bosnia and Herzegovina",BIH,5,5,0,-,0,0,906
2022,Afghanistan,AFG,Bulgaria,BGR,319,3250,0,-,0,0,0
2022,Afghanistan,AFG,Canada,CAN,987,1029,0,-,0,0,0
2022,Afghanistan,AFG,China,CHN,31,36,0,-,0,0,0
2022,Afghanistan,AFG,Chile,CHL,19,227,0,-,0,0,0
2022,Afghanistan,AFG,Colombia,COL,9,0,0,-,0,0,0
2022,Afghanistan,AFG,Cuba,CUB,12,0,0,-,0,0,0
2022,Afghanistan,AFG,Cyprus,CYP,43,1671,0,-,0,0,0
2022,Afghanistan,AFG,Czechia,CZE,187,42,0,-,0,0,0
2022,Afghanistan,AFG,Denmark,DNK,1625,478,0,-,0,0,0
2022,Afghanistan,AFG,"Dominican Rep.",DOM,0,8,0,-,0,0,0
2022,Afghanistan,AFG,Ecuador,ECU,147,0,0,-,0,0,0
2022,Afghanistan,AFG,Estonia,EST,33,0,0,-,0,0,0
2022,Afghanistan,AFG,Fiji,FJI,5,8,0,-,0,0,0
2022,Afghanistan,AFG,Finland,FIN,3855,410,0,-,0,0,0
2022,Afghanistan,AFG,France,FRA,63506,11130,0,-,0,0,0
2022,Afghanistan,AFG,"United Kingdom of Great Britain and Northern Ireland",GBR,11265,13056,0,-,0,0,0
2022,Afghanistan,AFG,Georgia,GEO,78,5,0,-,0,0,0
2022,Afghanistan,AFG,Germany,DEU,180810,34867,0,-,0,0,0
2022,Afghanistan,AFG,Ghana,GHA,10,5,0,-,0,0,0
2022,Afghanistan,AFG,Greece,GRC,35467,2779,0,-,0,0,0
2022,Afghanistan,AFG,Guyana,GUY,0,5,0,-,0,0,0
2022,Afghanistan,AFG,"China, Hong Kong SAR",HKG,11,0,0,-,0,0,0
2022,Afghanistan,AFG,Croatia,HRV,99,306,0,-,0,0,11
2022,Afghanistan,AFG,Hungary,HUN,1452,5,0,-,0,0,0
2022,Afghanistan,AFG,Iceland,ISL,227,9,0,-,0,0,0
2022,Afghanistan,AFG,India,IND,9858,5181,0,-,0,0,0
2022,Afghanistan,AFG,Indonesia,IDN,5872,1119,0,-,0,0,0
2022,Afghanistan,AFG,Ireland,IRL,1324,746,0,-,0,0,0
